date,ticker,tenor,parspread,convspreard,upfront,runningcoupon,primarycoupon,close_price,financial_debt_ratio,implied_vol,par_spread_error,delta,gamma
2021-01-04,XRX,5Y,0.01735375,0.01679923,-0.15458256,0.05,N,22.46,24.956666083471,0.2567164263280417,6.922900794292808e-11,-0.001545317866922401,0.0001639187815285388
2021-01-05,XRX,5Y,0.01732612,0.01675904,-0.15475761,0.05,N,22.85,24.956666083471,0.2594592577030765,6.67511948493349e-11,-0.0015117162538373346,0.00015740866328517802
2021-01-06,XRX,5Y,0.01710909,0.01725005,0.03365926,0.01,Y,23.2,24.956666083471,0.2609413083108238,8.407832763346335e-11,-0.001472988897860449,0.00015135184419611328
2021-01-07,XRX,5Y,0.01698699,0.01712499,0.03305453,0.01,Y,23.58,24.956666083471,0.26305413912171166,9.240651646647002e-11,-0.001437972448430875,0.0001454183261977507
2021-01-08,XRX,5Y,0.01703906,0.01717504,0.03324803,0.01,Y,23.55,24.956666083471,0.2630982683122492,8.646946700330282e-11,-0.0014427938947751632,0.0001459876904125433
2021-01-11,XRX,5Y,0.01729854,0.0167398,-0.15409338,0.05,N,23.44,24.956666083471,0.2635887118247926,6.172014982430696e-11,-0.0014639468674673573,0.0001482766761822414
2021-01-12,XRX,5Y,0.01751581,0.01695844,-0.15284583,0.05,N,23.22,24.956666083471,0.26306716516049716,4.7854123441659624e-11,-0.0014917439190865467,0.00015214779881096707
2021-01-13,XRX,5Y,0.01751366,0.01766567,0.03533333,0.01,Y,22.94,24.956666083471,0.2610247221420855,5.0746445240390514e-11,-0.00151393582447985,0.00015649446905241504
2021-01-14,XRX,5Y,0.0174749,0.01762267,0.03513991,0.01,Y,23.04,24.956666083471,0.2615655201612181,5.246213186094195e-11,-0.001503960840254323,0.0001548141189211677
2021-01-15,XRX,5Y,0.01755402,0.01699353,-0.15247164,0.05,N,22.49,24.956666083471,0.2579032726709034,5.241746967032945e-11,-0.0015531471839485417,0.00016398840632806527
2021-01-19,XRX,5Y,0.01744396,0.0168812,-0.15279538,0.05,N,21.09,24.956666083471,0.24664947041177673,7.829341341913931e-11,-0.0016740142649677107,0.00019006873375763608
2021-01-20,XRX,5Y,0.0174643,0.01761427,0.03501407,0.01,Y,21.05,24.956666083471,0.24642939898754013,7.671492954774983e-11,-0.0016790455200409206,0.0001909785281735965
2021-01-21,XRX,5Y,0.01730686,0.01675305,-0.1533394,0.05,N,21.35,24.956666083471,0.2480392675328588,9.001168560507367e-11,-0.001641544708684911,0.0001842790958864124
2021-01-22,XRX,5Y,0.01764929,0.01780469,0.03582415,0.01,Y,21.07,24.956666083471,0.24745998653542647,5.974455999369077e-11,-0.0016874174236797303,0.00019117249802403508
2021-01-25,XRX,5Y,0.01804641,0.01748354,-0.14922015,0.05,N,20.75,24.956666083471,0.24675920464336606,1.275371266928893e-10,-0.0017416660272702254,0.000199454144745672
2021-01-26,XRX,5Y,0.01835446,0.01853003,0.0389712,0.01,Y,21.07,22.81915068916986,0.265805252656767,1.5909551454029724e-11,-0.0016927787735335383,0.00018798157639461632
2021-01-27,XRX,5Y,0.01893508,0.01836231,-0.14455267,0.05,N,20.87,22.81915068916986,0.26692344761964143,4.8774276284468954e-11,-0.0017436990430272845,0.0001940319881659977
2021-01-28,XRX,5Y,0.01907344,0.01849961,-0.14378351,0.05,N,21.22,22.81915068916986,0.2703869539157265,4.1811974021976894e-11,-0.001715727315666958,0.00018708937530238084
2021-01-29,XRX,5Y,0.01923972,0.01944401,0.04291261,0.01,Y,21.03,22.81915068916986,0.2696350725507595,2.6680126857803188e-11,-0.001743392650594748,0.00019154668818866655
2021-02-01,XRX,5Y,0.01915318,0.01935449,0.04245989,0.01,Y,22.59,22.81915068916986,0.2813966399264186,3.7502848049264514e-12,-0.0015930361111584114,0.00016198599769025324
2021-02-02,XRX,5Y,0.01868851,0.01887428,0.04034264,0.01,Y,22.85,22.81915068916986,0.2811237119983508,6.549778081010871e-12,-0.0015488292700135305,0.00015655508237848864
2021-02-03,XRX,5Y,0.01825253,0.0176832,-0.14748869,0.05,N,23.57,22.81915068916986,0.28427201973604926,9.825015800934978e-12,-0.0014709087790500605,0.0001446164780031997
2021-02-04,XRX,5Y,0.01809169,0.01752471,-0.14817986,0.05,N,23.17,22.81915068916986,0.2805850972296167,1.3617548061395368e-11,-0.0014943878227497102,0.00015007266889107904
2021-02-05,XRX,5Y,0.01751823,0.01766667,0.03494067,0.01,Y,23.5,22.81915068916986,0.2801399393209516,2.7710323619034583e-11,-0.0014415168627945445,0.00014378274824082549
2021-02-08,XRX,5Y,0.01744364,0.01759099,0.03455053,0.01,Y,24.24,22.81915068916986,0.2849941649875569,2.5306857304174812e-11,-0.001384365717433408,0.00013361172525396328
2021-02-09,XRX,5Y,0.01716146,0.01662397,-0.15238988,0.05,N,23.94,22.81915068916986,0.28147202505873364,4.0821884067510084e-11,-0.0013923365765077973,0.00013683879810008626
2021-02-10,XRX,5Y,0.01710675,0.01656762,-0.15260671,0.05,N,23.52,22.81915068916986,0.27822075109379846,4.9160717163765355e-11,-0.0014201938546990669,0.0001424434924558425
2021-02-11,XRX,5Y,0.01699852,0.01645318,-0.15317552,0.05,N,23.58,22.81915068916986,0.2781022004086799,5.6427022776528446e-11,-0.001410527654448884,0.00014132297972995964
2021-02-12,XRX,5Y,0.01704893,0.01718701,0.0326997,0.01,Y,23.71,22.81915068916986,0.27928026686082635,5.081932444306325e-11,-0.0014034905426273826,0.00013965727036405542
2021-02-16,XRX,5Y,0.01715294,0.01729115,0.03307602,0.01,Y,23.95,22.81915068916986,0.28149918299949783,4.1208838424955374e-11,-0.0013912211621339692,0.00013668492002450253
2021-02-17,XRX,5Y,0.01702338,0.01648382,-0.15230267,0.05,N,23.44,22.81915068916986,0.2772283464551651,5.6442153034685916e-11,-0.001422065387382895,0.00014335790037288063
2021-02-18,XRX,5Y,0.01712523,0.01726215,0.0328956,0.01,Y,23.3,22.81915068916986,0.27673549657533725,5.063329616694645e-11,-0.0014375375142909232,0.00014563800422661907
2021-02-19,XRX,5Y,0.01688301,0.01634447,-0.15293986,0.05,N,23.66,22.81915068916986,0.2780851839942072,6.513924469264687e-11,-0.0013990969093705943,0.00013991709877091835
2021-02-22,XRX,5Y,0.01727313,0.01741317,0.03347897,0.01,Y,24.36,22.81915068916986,0.28496547307211206,3.116732566477154e-11,-0.0013681614643392178,0.0001316843331821381
2021-02-23,XRX,5Y,0.01747445,0.01761877,0.03434939,0.01,Y,24.65,22.81915068916986,0.2879812544060969,2.166445842166631e-11,-0.0013576088811064375,0.0001285755248188053
2021-02-24,XRX,5Y,0.01740909,0.01686931,-0.14975464,0.05,N,25.32,22.81915068916986,0.2921813836342135,1.9678515761345494e-11,-0.0013108654423927262,0.0001206680984208626
2021-02-25,XRX,5Y,0.01812269,0.01757639,-0.14606443,0.05,N,25.35,22.81915068916986,0.2959923732492663,7.157989478923099e-12,-0.0013398643789426356,0.00012184902118187943
2021-02-26,XRX,5Y,0.01800167,0.01816254,0.03656108,0.01,Y,25.48,22.82923208014077,0.29617861642512916,8.186125388665033e-12,-0.0013264647520049942,0.00012017700931418393
2021-03-01,XRX,5Y,0.01744948,0.0175917,0.03407403,0.01,Y,25.77,22.82923208014077,0.29529355686309167,1.636471166910347e-11,-0.0012847304052838373,0.00011592941381792163
2021-03-02,XRX,5Y,0.0172358,0.01737046,0.03309394,0.01,Y,25.82,22.82923208014077,0.2945237005514934,2.185575678770313e-11,-0.0012725096804555164,0.00011496515960222192
2021-03-03,XRX,5Y,0.01693328,0.01706147,0.03174146,0.01,Y,25.62,22.82923208014077,0.2916482867395827,3.5714271817699483e-11,-0.0012714700690429175,0.00011641414411905221
2021-03-04,XRX,5Y,0.01712214,0.0172551,0.03254661,0.01,Y,25.57,22.82923208014077,0.2922948502956631,2.764274573130443e-11,-0.001282808014487765,0.00011735065609493056
2021-03-05,XRX,5Y,0.01690444,0.01638241,-0.15116974,0.05,N,26.09,22.82923208014077,0.29456274375676456,3.2462633275942565e-11,-0.0012422178879550952,0.00011153907749587855
2021-03-08,XRX,5Y,0.01658163,0.01606655,-0.1525127,0.05,N,26.7,22.82923208014077,0.2967619661117412,4.316698387629714e-11,-0.0011939522749385405,0.00010506670590567854
