price,trade_size
7.0,8695
7.14,8653
7.28,8612
7.42,8570
7.56,8529
7.7,8487
7.84,8446
7.98,8404
8.12,8363
8.26,8322
8.4,8281
8.54,8239
8.68,8198
8.82,8158
8.96,8117
9.11,8076
9.25,8036
9.39,7996
9.53,7956
9.67,7916
9.81,7876
9.95,7837
10.09,7797
10.23,7758
10.37,7720
10.51,7681
10.65,7643
10.79,7604
10.93,7567
11.07,7529
11.21,7492
11.35,7455
11.49,7418
11.63,7381
11.77,7345
11.91,7309
12.05,7273
12.19,7237
12.33,7202
12.47,7167
12.61,7132
12.75,7098
12.89,7064
13.04,7030
13.18,6996
13.32,6963
13.46,6930
13.6,6897
13.74,6864
13.88,6832
14.02,6800
14.16,6768
14.3,6737
14.44,6706
14.58,6675
14.72,6644
14.86,6613
15.0,6583
